First Last,Course,Total Students,A,B,C,D,F,Avg GPA,A-F Average,A-F Median,A-F Mode,A-F Standard Deviation,Rating,Difficulty,Would Take Again %,Course Name,Units,Description,Prerequisite,Corequisite,Graduate Eligibility
Michael Marcinkevicz,CPSC 471,38,37,0,1,0,0,3.94,3.94,4.0,4.0,0.33,,,,Computer Communications,3,"Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques. Prerequisites: CPSC 351; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring/Summer",,,
Mikhail Gofman,CPSC 351,32,5,15,10,1,1,2.66,2.66,2.85,3.0,0.87,4.6,3.5,77.2727,Operating Systems Concepts,3,"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems. Typically Offered: Fall/Spring/Summer","CPSC 131, CPSC 240; or Computer Science or Computer Engineering graduate standing.",,Undergraduate Course not available for Graduate Credit
Mikhail Gofman,CPSC 458,45,10,22,9,2,2,2.79,2.79,3.0,,0.98,4.6,3.5,77.2727,Malware Analysis,3,"Introduction to principles and practices of malware analysis. Topics include static and dynamic code analysis, data decoding, analysis tools, debugging, shellcode analysis, reverse engineering of stealthy malware and written presentation of analysis results. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",CPSC 351 or Computer Science or Computer Engineering graduate standing.,,
Mohamadreza Ahmadnia,CPSC 120,31,16,8,2,2,3,3.07,3.07,3.7,4.0,1.31,,,,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Mohamadreza Ahmadnia,CPSC 240,78,29,35,11,3,0,3.08,3.08,3.08,3.85,0.77,,,,Computer Organization and Assembly Language,3,"Digital logic and architecture of a computer system, machine level representation of data, memory system organization, structure of low-level computer languages. Machine, assembly, and macro language programming. Principles of assembler operation, input-output programming, interrupt/exception handling. Laboratory programming assignments. (2 hours lecture, 2 hours laboratory) Prerequisites: CPSC 131; MATH 170A or MATH 280; or graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Mohamadreza Ahmadnia,CPSC 323,37,6,13,18,0,0,2.55,2.55,2.7,1.7,0.8,,,,Compilers and Languages,3,"Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Natalia Anderson,CPSC 121,14,5,4,3,2,0,2.67,2.67,3.0,4.0,1.1,,,,Object-Oriented Programming,3,"The object-oriented programming paradigm: classes, member functions, interfaces, inheritance, polymorphism, and exceptions. Design practices including encapsulation, decoupling, and documentation. Pointers/references and memory management. Recursion. (2 hours lecture, 2 hours activity)",CPSC 120 or passing score on Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Ning Chen,CPSC 440,61,22,36,3,0,0,3.3,3.3,3.15,3.0,0.48,3.0,3.3,37.037,Computer System Architecture,3,"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems. Prerequisites: CPSC 240; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Patricia Parral,CPSC 311,63,11,38,14,0,0,2.94,2.94,3.0,3.0,0.62,,,,,,,,,
PaulSalvador Inventado,CPSC 121,55,20,7,9,2,17,2.18,2.18,2.5,2.0,1.66,,,,Object-Oriented Programming,3,"The object-oriented programming paradigm: classes, member functions, interfaces, inheritance, polymorphism, and exceptions. Design practices including encapsulation, decoupling, and documentation. Pointers/references and memory management. Recursion. (2 hours lecture, 2 hours activity)",CPSC 120 or passing score on Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
Pouya Radfar,CPSC 311,38,25,13,0,0,0,3.66,3.66,4.0,4.0,0.48,3.9,2.3,73.3333,,,,,,
Pouya Radfar,CPSC 313,128,44,47,26,11,0,2.88,2.88,3.0,3.5,0.95,3.9,2.3,73.3333,,,,,,
Pouya Radfar,CPSC 315,34,25,8,1,0,0,3.71,3.71,4.0,4.0,0.52,3.9,2.3,73.3333,Professional Ethics in Computing,3,"Ethics and moral philosophy as applied to software and digital artifacts. Notions of rights, responsibilities, property, ownership, privacy, security, and professional ethics. Security obligations. Intellectual propertystatutes, licenses, and their terms. Oral and written reports are required. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Sara Ghadami,CPSC 120,54,14,25,13,2,0,2.95,2.95,3.0,3.35,0.74,,,,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Sara Ghadami,CPSC 313,88,48,31,7,0,2,3.28,3.28,3.6,4.0,0.81,,,,,,,,,
Sara Ghadami,CPSC 362,46,11,33,2,0,0,3.24,3.24,3.3,,0.42,,,,Foundations of Software Engineering,3,"Basic concepts, principles, methods, techniques and practices of software engineering. All aspects of the software engineering fields. Use Computer-Aided Software Engineering (CASE) tools. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Sara Hariri,CPSC 313,42,20,14,5,3,0,3.14,3.14,3.0,4.0,0.92,,,,,,,,,
Shawn Wang,CPSC 332,85,17,28,37,3,0,2.72,2.72,2.75,2.0,0.82,2.6,3.3,37.037,File Structures and Database Systems,3,"Fundamental theories and design of database systems, the Structured Query Language (SQL), basic concepts and techniques of data organization in secondary storage. Topics include introduction to database systems, ER model, relational model, index structures and hashing techniques. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Shohrat Geldiyev,CPSC 323,28,5,20,2,0,1,2.9,2.9,3.0,2.7,0.73,,,,Compilers and Languages,3,"Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Shohrat Geldiyev,CPSC 332,33,17,11,4,0,1,3.18,3.18,3.7,3.7,0.8,,,,File Structures and Database Systems,3,"Fundamental theories and design of database systems, the Structured Query Language (SQL), basic concepts and techniques of data organization in secondary storage. Topics include introduction to database systems, ER model, relational model, index structures and hashing techniques. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Son Nguyen,CPSC 464,29,7,21,1,0,0,3.21,3.21,3.0,3.0,0.49,4.1,3.2,81.8182,Software Architecture,3,"Basic principles and practices of software design and architecture. High-level design, software architecture, documenting software architecture, software and architecture evaluation, software product lines and some considerations beyond software architecture. Prerequisites: CPSC 362; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Song Choi,CPSC 323,62,12,26,24,0,0,2.81,2.81,2.8,2.65,0.7,,,,Compilers and Languages,3,"Basic concepts of programming languages and principles of translation. Topics include history of programming languages, various programming paradigms, language design issues and criteria, design of compilers for modern programming languages. Prerequisites: CPSC 131; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Stephen May,CPSC 120,30,8,13,6,1,2,2.8,2.8,3.0,,1.11,,,,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Steven Silverman,CPSC 351,34,27,6,0,0,1,3.72,3.72,4.0,4.0,0.76,,,,Operating Systems Concepts,3,"Resource management, memory organization, input/output, control process synchronization and other concepts as related to the objectives of multi-user operating systems. Typically Offered: Fall/Spring/Summer","CPSC 131, CPSC 240; or Computer Science or Computer Engineering graduate standing.",,Undergraduate Course not available for Graduate Credit
Steven Silverman,CPSC 440,36,35,0,0,0,1,3.89,3.89,4.0,4.0,0.67,,,,Computer System Architecture,3,"Computer performance, price/performance, instruction set design and examples. Processor design, pipelining, memory hierarchy design and input/output subsystems. Prerequisites: CPSC 240; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Sylvan Shulman,CPSC 240,32,8,10,11,1,2,2.66,2.66,3.0,2.0,1.1,,,,Computer Organization and Assembly Language,3,"Digital logic and architecture of a computer system, machine level representation of data, memory system organization, structure of low-level computer languages. Machine, assembly, and macro language programming. Principles of assembler operation, input-output programming, interrupt/exception handling. Laboratory programming assignments. (2 hours lecture, 2 hours laboratory) Prerequisites: CPSC 131; MATH 170A or MATH 280; or graduate standing. Typically Offered: Fall/Spring",,,Undergraduate Course not available for Graduate Credit
Thomas Bettens,CPSC 120,58,20,18,8,2,10,2.66,2.66,3.08,2.0,1.3,2.4,4.3,31.8841,Introduction to Programming,3,"Introduction to the concepts underlying all computer programming: design and execution of programs; sequential nature of programs; use of assignment, control and input/output statements to accomplish desired tasks; design and use of functions. Structured and object-oriented methodologies. (1.5 hours lecture, 3 hours laboratory)",,MATH 125.,Undergraduate Course not available for Graduate Credit
Thomas Bettens,CPSC 462,63,35,25,0,2,1,3.45,3.45,3.5,4.0,0.66,2.4,4.3,31.8841,Software Design,3,"Concepts of software modeling, software process and some tools. Object-oriented analysis and design and Unified process. Some computer-aided software engineering (CASE) tools will be recommended to use for doing homework assignments. Prerequisites: CPSC 362; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Tseng-Ching Shen,CPSC 473,45,25,19,1,0,0,3.48,3.48,3.7,4.0,0.54,1.7,4.2,14.2857,,,,,,
William McCarthy,CPSC 131,70,15,19,12,5,19,2.08,2.08,2.5,,1.52,2.4,3.8,40.0,Data Structures,3,"Classical data structures: vector, linked list, stack, queue, binary search tree, and graph representations. Worst-case analysis, amortized analysis, and big-O notation. Object-oriented and recursive implementation of data structures. Self-resizing vectors and self-balancing trees. Empirical performance measurement. Typically Offered: Fall/Spring",CPSC 121 or sufficient score on the Computer Science Placement Exam.,,Undergraduate Course not available for Graduate Credit
William McCarthy,CPSC 386,60,22,32,1,0,5,3.11,3.11,3.0,3.5,1.06,2.4,3.8,40.0,Introduction to Game Design and Production,3,"Current and future technologies and market trends in game design and production. Game technologies, basic building tools for games and the process of game design, development and production. Prerequisites: CPSC 121; completion of G.E. Category B.4; or Computer Science or Computer Engineering graduate standing. Typically Offered: Fall/Spring/Summer",,,Undergraduate Course not available for Graduate Credit
Yun Tian,CPSC 454,60,28,30,2,0,0,3.46,3.46,3.5,3.3,0.42,1.7,3.7,16.2162,Cloud Computing and Security,3,"Cloud computing and cloud security, distributed computing, computer clusters, grid computing, virtual machines and virtualization, cloud computing platforms and deployment models, cloud programming and software environments, vulnerabilities and risks of cloud computing, cloud infrastructure protection, data privacy and protection. Prerequisites: CPSC 351, CPSC 253; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring",,,
Yun Tian,CPSC 471,62,18,35,9,0,0,3.18,3.18,3.15,,0.57,1.7,3.7,16.2162,Computer Communications,3,"Introduction to digital data communications. Terminology, networks and their components, common-carrier services, telecommunication facilities, terminals, error control, multiplexing and concentration techniques. Prerequisites: CPSC 351; Computer Science or Computer Engineering major or minor; or Computer Science or Computer Engineering graduate standing. 400-level Undergraduate Course available for Graduate Credit Typically Offered: Fall/Spring/Summer",,,
